2026/01/01 13:55:22 Starting server with GOGC=50
2026/01/01 13:55:22 Web UI loaded successfully
2026/01/01 13:55:22 Starting server on 127.0.0.1:5000 (version: 982fd9c)
2026/01/01 13:55:22 Data directory: ./test_data
2026/01/01 13:55:22 Benchmarks directory: test_data/benchmarks
[GIN] 2026/01/01 - 13:55:33 | 200 |      70.663µs |       127.0.0.1 | GET      "/benchmarks/1"
[GIN] 2026/01/01 - 13:55:33 | 200 |     3.23791ms |       127.0.0.1 | GET      "/assets/vendor-BmPAEIuF.js"
[GIN] 2026/01/01 - 13:55:33 | 200 |    4.369831ms |       127.0.0.1 | GET      "/assets/index-CRgjlJoe.js"
[GIN] 2026/01/01 - 13:55:33 | 200 |     230.453µs |       127.0.0.1 | GET      "/assets/index-DU9HPG2W.css"
[GIN] 2026/01/01 - 13:55:33 | 200 |    4.204744ms |       127.0.0.1 | GET      "/assets/charts-BPrCk3my.js"
[GIN] 2026/01/01 - 13:55:33 | 200 |     151.745µs |       127.0.0.1 | GET      "/api/auth/me"
[GIN] 2026/01/01 - 13:55:33 | 200 |      14.637µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/01/01 - 13:55:33 | 200 |     544.212µs |       127.0.0.1 | GET      "/api/benchmarks/1"
[GIN] 2026/01/01 - 13:55:33 | 200 |     164.599µs |       127.0.0.1 | GET      "/assets/fa-solid-900-8GirhLYJ.woff2"
[GIN] 2026/01/01 - 13:55:33 | 200 |     128.402µs |       127.0.0.1 | GET      "/assets/fa-brands-400-BfBXV7Mm.woff2"
[GIN] 2026/01/01 - 13:55:33 | 200 |   46.209192ms |       127.0.0.1 | GET      "/api/benchmarks/1/data"
[GIN] 2026/01/01 - 13:55:33 | 200 |       42.26µs |       127.0.0.1 | GET      "/assets/benchmark-calculations.worker-BDco7u2-.js"
