0, 24-10-2025 15:41:23, Hardware monitoring log v1.6 ,,,,,,,,,,
1, 24-10-2025 15:41:23, Radeon RX 580 Series,,,,,,,,,,
2, 24-10-2025 15:41:23, Power               ,Framerate           ,Frametime           ,,,,,,,Framerate           ,Frametime           
3, 24-10-2025 15:41:23,0,,,300,10,                    ,                    ,%.1f                ,,,
3, 24-10-2025 15:41:23,1,,,200,10,                    ,                    ,,,,
3, 24-10-2025 15:41:23,2,,,50,10,                    ,                    ,%.1f                ,,,
80, 24-10-2025 15:41:24,143.136,109.6,10.031,,,,,,,109.6,10.031
80, 24-10-2025 15:41:25,143.832,109.5,10.273,,,,,,,109.5,10.273
80, 24-10-2025 15:41:26,144.89,81.9,28.205,,,,,,,81.9,28.205
80, 24-10-2025 15:41:27,143.32,61.2,22.756,,,,,,,61.2,22.756
80, 24-10-2025 15:41:28,144.074,66.9,16.051,,,,,,,66.9,16.051
80, 24-10-2025 15:41:29,143.707,66.8,17.294,,,,,,,66.8,17.294
80, 24-10-2025 15:41:30,142.738,61.8,18.084,,,,,,,61.8,18.084
80, 24-10-2025 15:41:31,143.972,61,18.094,,,,,,,61,18.094
80, 24-10-2025 15:41:32,144.105,62.6,17.768,,,,,,,62.6,17.768
80, 24-10-2025 15:41:33,143.05,59.6,19.306,,,,,,,59.6,19.306
80, 24-10-2025 15:41:34,144.292,58.5,19.417,,,,,,,58.5,19.417
80, 24-10-2025 15:41:35,144.48,58.7,19.057,,,,,,,58.7,19.057
80, 24-10-2025 15:41:36,143.55,58.8,18.365,,,,,,,58.8,18.365
80, 24-10-2025 15:41:37,144.925,58.5,17.786,,,,,,,58.5,17.786
80, 24-10-2025 15:41:38,143.679,57.5,21.007,,,,,,,57.5,21.007
80, 24-10-2025 15:41:39,144.921,58.3,18.142,,,,,,,58.3,18.142
80, 24-10-2025 15:41:40,144.515,58.1,17.977,,,,,,,58.1,17.977
80, 24-10-2025 15:41:41,143.578,58.2,18.013,,,,,,,58.2,18.013
80, 24-10-2025 15:41:42,145.082,58.8,17.994,,,,,,,58.8,17.994
80, 24-10-2025 15:41:43,143.73,58.4,20.319,,,,,,,58.4,20.319
80, 24-10-2025 15:41:44,144.367,58.4,17.839,,,,,,,58.4,17.839
80, 24-10-2025 15:41:45,143.382,58.4,18.938,,,,,,,58.4,18.938
80, 24-10-2025 15:41:46,143.972,63.7,16.55,,,,,,,63.7,16.55
80, 24-10-2025 15:41:47,143.566,58.1,19.256,,,,,,,58.1,19.256
80, 24-10-2025 15:41:48,144.074,56,24.154,,,,,,,56,24.154
80, 24-10-2025 15:41:49,143.64,56.2,18.575,,,,,,,56.2,18.575
80, 24-10-2025 15:41:50,144.339,55.9,18.945,,,,,,,55.9,18.945
80, 24-10-2025 15:41:51,143.593,56.2,18.826,,,,,,,56.2,18.826
80, 24-10-2025 15:41:52,143.25,55.9,18.508,,,,,,,55.9,18.508
80, 24-10-2025 15:41:53,144.253,55.6,18.719,,,,,,,55.6,18.719
80, 24-10-2025 15:41:54,143.984,57,19.197,,,,,,,57,19.197
80, 24-10-2025 15:41:55,144.703,61.9,18.332,,,,,,,61.9,18.332
80, 24-10-2025 15:41:56,141.492,60.1,18.851,,,,,,,60.1,18.851
80, 24-10-2025 15:41:57,144.398,65.2,25.302,,,,,,,65.2,25.302
80, 24-10-2025 15:41:58,143.078,64.9,16.549,,,,,,,64.9,16.549
80, 24-10-2025 15:41:59,144.234,65.1,16.564,,,,,,,65.1,16.564
80, 24-10-2025 15:42:00,143.542,65.1,16.323,,,,,,,65.1,16.323
80, 24-10-2025 15:42:01,143.808,65.7,16.024,,,,,,,65.7,16.024
80, 24-10-2025 15:42:02,143.207,64.9,17.746,,,,,,,64.9,17.746
80, 24-10-2025 15:42:03,144.835,63.3,16.338,,,,,,,63.3,16.338
80, 24-10-2025 15:42:04,143.5,64.2,16.381,,,,,,,64.2,16.381
80, 24-10-2025 15:42:05,143.429,64.9,17.09,,,,,,,64.9,17.09
80, 24-10-2025 15:42:06,143.972,65.6,15.894,,,,,,,65.6,15.894
80, 24-10-2025 15:42:07,143.535,65.5,16.306,,,,,,,65.5,16.306
80, 24-10-2025 15:42:08,144.324,65.4,16.717,,,,,,,65.4,16.717
80, 24-10-2025 15:42:09,143.968,67.4,15.559,,,,,,,67.4,15.559
80, 24-10-2025 15:42:10,144.609,67.8,15.716,,,,,,,67.8,15.716
80, 24-10-2025 15:42:11,144.328,59.1,18.65,,,,,,,59.1,18.65
80, 24-10-2025 15:42:12,143.066,59.2,17.692,,,,,,,59.2,17.692
80, 24-10-2025 15:42:13,144.066,58.1,19.875,,,,,,,58.1,19.875
80, 24-10-2025 15:42:14,143.691,58.4,17.714,,,,,,,58.4,17.714
80, 24-10-2025 15:42:15,144.511,58.1,18.165,,,,,,,58.1,18.165
80, 24-10-2025 15:42:16,145.101,58.2,17.862,,,,,,,58.2,17.862
80, 24-10-2025 15:42:17,144.351,58.1,17.758,,,,,,,58.1,17.758
80, 24-10-2025 15:42:18,144.21,58.6,18.005,,,,,,,58.6,18.005
80, 24-10-2025 15:42:19,144.656,58.1,21.115,,,,,,,58.1,21.115
80, 24-10-2025 15:42:20,143.328,57.7,19.06,,,,,,,57.7,19.06
80, 24-10-2025 15:42:21,144.222,57.5,19.757,,,,,,,57.5,19.757
80, 24-10-2025 15:42:22,144.449,57.5,18.149,,,,,,,57.5,18.149
80, 24-10-2025 15:42:23,144.449,58.1,17.996,,,,,,,58.1,17.996
80, 24-10-2025 15:42:24,144.636,57.8,18.448,,,,,,,57.8,18.448
80, 24-10-2025 15:42:25,143.363,57.8,19.059,,,,,,,57.8,19.059
80, 24-10-2025 15:42:26,143.828,57.3,18.142,,,,,,,57.3,18.142
80, 24-10-2025 15:42:27,144.343,58.1,19.515,,,,,,,58.1,19.515
80, 24-10-2025 15:42:28,142.511,62.8,17.768,,,,,,,62.8,17.768
80, 24-10-2025 15:42:29,143.679,60.3,17.625,,,,,,,60.3,17.625
80, 24-10-2025 15:42:30,143.355,60.2,18.02,,,,,,,60.2,18.02
80, 24-10-2025 15:42:31,144.292,61.7,17.273,,,,,,,61.7,17.273
80, 24-10-2025 15:42:32,144.722,63.7,16.658,,,,,,,63.7,16.658
80, 24-10-2025 15:42:33,144.644,64.6,16.577,,,,,,,64.6,16.577
80, 24-10-2025 15:42:34,142.71,63.8,16.269,,,,,,,63.8,16.269
80, 24-10-2025 15:42:35,143.757,62.6,16.666,,,,,,,62.6,16.666
80, 24-10-2025 15:42:36,143.218,63.1,16.523,,,,,,,63.1,16.523
80, 24-10-2025 15:42:37,144.21,62.4,16.599,,,,,,,62.4,16.599
80, 24-10-2025 15:42:38,143.085,62.8,16.516,,,,,,,62.8,16.516
80, 24-10-2025 15:42:39,144.296,62.8,17.086,,,,,,,62.8,17.086
80, 24-10-2025 15:42:40,143.125,62.4,16.758,,,,,,,62.4,16.758
80, 24-10-2025 15:42:41,140.703,60.8,19.305,,,,,,,60.8,19.305
80, 24-10-2025 15:42:42,143.941,67.9,15.474,,,,,,,67.9,15.474
80, 24-10-2025 15:42:43,143.554,67.4,16.057,,,,,,,67.4,16.057
80, 24-10-2025 15:42:44,143.195,62.6,17.875,,,,,,,62.6,17.875
80, 24-10-2025 15:42:45,145.296,60.8,17.819,,,,,,,60.8,17.819
80, 24-10-2025 15:42:46,144.32,58.4,18.074,,,,,,,58.4,18.074
80, 24-10-2025 15:42:47,144.156,57.6,18.37,,,,,,,57.6,18.37
80, 24-10-2025 15:42:48,142.714,57,18.4,,,,,,,57,18.4
80, 24-10-2025 15:42:49,145.066,56.8,18.762,,,,,,,56.8,18.762
80, 24-10-2025 15:42:50,145.164,58.4,17.943,,,,,,,58.4,17.943
80, 24-10-2025 15:42:51,144.574,61.7,18.137,,,,,,,61.7,18.137
80, 24-10-2025 15:42:52,143.777,62.6,16.773,,,,,,,62.6,16.773
80, 24-10-2025 15:42:53,143.726,61.8,17.769,,,,,,,61.8,17.769
80, 24-10-2025 15:42:54,144.773,61.2,17.209,,,,,,,61.2,17.209
80, 24-10-2025 15:42:55,144.82,61.2,18.103,,,,,,,61.2,18.103
80, 24-10-2025 15:42:56,144.343,59.7,18.448,,,,,,,59.7,18.448
80, 24-10-2025 15:42:57,143.558,59.8,23.955,,,,,,,59.8,23.955
80, 24-10-2025 15:42:58,143.378,60.8,18.345,,,,,,,60.8,18.345
80, 24-10-2025 15:42:59,143.683,61.5,17.714,,,,,,,61.5,17.714
80, 24-10-2025 15:43:00,143.933,63.4,17.062,,,,,,,63.4,17.062
80, 24-10-2025 15:43:01,143.136,61.5,17.089,,,,,,,61.5,17.089
80, 24-10-2025 15:43:02,142.203,60.6,20.455,,,,,,,60.6,20.455
80, 24-10-2025 15:43:03,144.738,59.1,17.775,,,,,,,59.1,17.775
80, 24-10-2025 15:43:04,144.992,58.6,17.937,,,,,,,58.6,17.937
80, 24-10-2025 15:43:05,143.554,58.9,17.852,,,,,,,58.9,17.852
80, 24-10-2025 15:43:06,143.042,59.2,18.862,,,,,,,59.2,18.862
80, 24-10-2025 15:43:07,142.695,58.9,17.649,,,,,,,58.9,17.649
80, 24-10-2025 15:43:08,143.558,59.1,17.995,,,,,,,59.1,17.995
80, 24-10-2025 15:43:09,141.808,58.7,18.947,,,,,,,58.7,18.947
80, 24-10-2025 15:43:10,143.812,59.2,17.944,,,,,,,59.2,17.944
80, 24-10-2025 15:43:11,144.324,58.7,17.966,,,,,,,58.7,17.966
80, 24-10-2025 15:43:12,143.953,58.7,17.854,,,,,,,58.7,17.854
80, 24-10-2025 15:43:13,144.097,59.2,17.717,,,,,,,59.2,17.717
80, 24-10-2025 15:43:14,142.05,62.7,17.298,,,,,,,62.7,17.298
80, 24-10-2025 15:43:15,143.457,63,17.592,,,,,,,63,17.592
80, 24-10-2025 15:43:16,144.761,65.1,17.754,,,,,,,65.1,17.754
80, 24-10-2025 15:43:17,144.031,57.7,18.408,,,,,,,57.7,18.408
80, 24-10-2025 15:43:18,140.957,57.8,18.599,,,,,,,57.8,18.599
80, 24-10-2025 15:43:19,143.48,55.7,20.146,,,,,,,55.7,20.146
80, 24-10-2025 15:43:20,145.05,57.3,18.363,,,,,,,57.3,18.363
80, 24-10-2025 15:43:21,143.582,57.1,18.485,,,,,,,57.1,18.485
80, 24-10-2025 15:43:22,144.644,56.7,18.574,,,,,,,56.7,18.574
80, 24-10-2025 15:43:23,140.863,56,18.94,,,,,,,56,18.94
80, 24-10-2025 15:43:24,144.027,56.2,18.678,,,,,,,56.2,18.678
80, 24-10-2025 15:43:25,144.429,56.8,18.54,,,,,,,56.8,18.54
80, 24-10-2025 15:43:26,141.925,56.8,18.367,,,,,,,56.8,18.367
80, 24-10-2025 15:43:27,144.21,56.4,18.648,,,,,,,56.4,18.648
80, 24-10-2025 15:43:28,140.917,55.9,19.428,,,,,,,55.9,19.428
80, 24-10-2025 15:43:29,142.027,55.9,18.863,,,,,,,55.9,18.863
80, 24-10-2025 15:43:30,143.82,55.5,18.716,,,,,,,55.5,18.716
80, 24-10-2025 15:43:31,144.335,56.2,18.827,,,,,,,56.2,18.827
80, 24-10-2025 15:43:32,143.859,57,18.519,,,,,,,57,18.519
80, 24-10-2025 15:43:33,144.132,58.4,18.219,,,,,,,58.4,18.219
80, 24-10-2025 15:43:34,143.089,64.2,16.605,,,,,,,64.2,16.605
80, 24-10-2025 15:43:35,144.546,61.9,18.376,,,,,,,61.9,18.376
80, 24-10-2025 15:43:36,144.597,63.7,16.825,,,,,,,63.7,16.825
80, 24-10-2025 15:43:37,143.222,65.2,16.86,,,,,,,65.2,16.86
80, 24-10-2025 15:43:38,143.73,64.4,16.329,,,,,,,64.4,16.329
80, 24-10-2025 15:43:39,143.851,62.9,18.558,,,,,,,62.9,18.558
80, 24-10-2025 15:43:40,141.062,61.5,17.558,,,,,,,61.5,17.558
80, 24-10-2025 15:43:41,140.746,64.4,17.543,,,,,,,64.4,17.543
80, 24-10-2025 15:43:42,142.035,66.4,16.924,,,,,,,66.4,16.924
80, 24-10-2025 15:43:43,140.492,62.9,17.379,,,,,,,62.9,17.379
80, 24-10-2025 15:43:44,142.351,59.2,19.17,,,,,,,59.2,19.17
80, 24-10-2025 15:43:45,142.093,57.8,18.142,,,,,,,57.8,18.142
