0, 24-10-2025 16:56:05, Hardware monitoring log v1.6 ,,,,,,,,,,
1, 24-10-2025 16:56:05, Radeon RX 580 Series,,,,,,,,,,
2, 24-10-2025 16:56:05, Power               ,Framerate           ,Frametime           ,,,,,,,Framerate           ,Frametime           
3, 24-10-2025 16:56:05,0,,,300,10,                    ,                    ,%.1f                ,,,
3, 24-10-2025 16:56:05,1,,,200,10,                    ,                    ,,,,
3, 24-10-2025 16:56:05,2,,,50,10,                    ,                    ,%.1f                ,,,
80, 24-10-2025 16:56:05,142.515,119.4,8.854,,,,,,,119.4,8.854
80, 24-10-2025 16:56:06,143.281,118.4,9.571,,,,,,,118.4,9.571
80, 24-10-2025 16:56:07,144.187,121.8,12.258,,,,,,,121.8,12.258
80, 24-10-2025 16:56:08,143.984,123.6,16.167,,,,,,,123.6,16.167
80, 24-10-2025 16:56:09,144.722,135.8,9.224,,,,,,,135.8,9.224
80, 24-10-2025 16:56:10,141.476,119.1,16.943,,,,,,,119.1,16.943
80, 24-10-2025 16:56:11,142.71,116.9,9.582,,,,,,,116.9,9.582
80, 24-10-2025 16:56:12,142.562,120.6,9.874,,,,,,,120.6,9.874
80, 24-10-2025 16:56:13,144.894,116.8,35.864,,,,,,,116.8,35.864
80, 24-10-2025 16:56:14,143.667,123.1,8.766,,,,,,,123.1,8.766
80, 24-10-2025 16:56:15,143.613,123.2,8.928,,,,,,,123.2,8.928
80, 24-10-2025 16:56:16,144.519,123,15.799,,,,,,,123,15.799
80, 24-10-2025 16:56:17,144.871,123.6,9.558,,,,,,,123.6,9.558
80, 24-10-2025 16:56:18,143.769,102.5,17.614,,,,,,,102.5,17.614
80, 24-10-2025 16:56:19,144.175,102.8,11.092,,,,,,,102.8,11.092
80, 24-10-2025 16:56:20,141.316,105.3,17.188,,,,,,,105.3,17.188
80, 24-10-2025 16:56:21,143.343,105.4,10.211,,,,,,,105.4,10.211
80, 24-10-2025 16:56:22,143.554,104.9,17.567,,,,,,,104.9,17.567
80, 24-10-2025 16:56:23,144.281,105.3,10.107,,,,,,,105.3,10.107
80, 24-10-2025 16:56:24,143.164,104.8,10.395,,,,,,,104.8,10.395
80, 24-10-2025 16:56:25,143.933,106.5,16.41,,,,,,,106.5,16.41
80, 24-10-2025 16:56:26,142.921,109.5,12.829,,,,,,,109.5,12.829
