0, 24-10-2025 18:04:41, Hardware monitoring log v1.6 ,,,,,,,,,,
1, 24-10-2025 18:04:41, Radeon RX 580 Series,,,,,,,,,,
2, 24-10-2025 18:04:41, Power               ,Framerate           ,Frametime           ,,,,,,,Framerate           ,Frametime           
3, 24-10-2025 18:04:41,0,,,300,10,                    ,                    ,%.1f                ,,,
3, 24-10-2025 18:04:41,1,,,200,10,                    ,                    ,,,,
3, 24-10-2025 18:04:41,2,,,50,10,                    ,                    ,%.1f                ,,,
80, 24-10-2025 18:04:42,137.195,54,19.052,,,,,,,54,19.052
80, 24-10-2025 18:04:43,137.632,52.7,22.688,,,,,,,52.7,22.688
80, 24-10-2025 18:04:44,138.476,51.3,20.067,,,,,,,51.3,20.067
80, 24-10-2025 18:04:45,141.042,50.9,20.146,,,,,,,50.9,20.146
80, 24-10-2025 18:04:46,136.835,50.8,20.277,,,,,,,50.8,20.277
80, 24-10-2025 18:04:47,133.792,51.8,20.332,,,,,,,51.8,20.332
80, 24-10-2025 18:04:48,133.757,57.1,21.096,,,,,,,57.1,21.096
80, 24-10-2025 18:04:49,131.675,56.7,18.888,,,,,,,56.7,18.888
80, 24-10-2025 18:04:50,132.347,56.2,19.327,,,,,,,56.2,19.327
80, 24-10-2025 18:04:51,130.089,59.5,17.829,,,,,,,59.5,17.829
80, 24-10-2025 18:04:52,132.636,58.6,18.883,,,,,,,58.6,18.883
80, 24-10-2025 18:04:53,136.949,53.8,22.105,,,,,,,53.8,22.105
80, 24-10-2025 18:04:54,133.804,55.4,23.31,,,,,,,55.4,23.31
80, 24-10-2025 18:04:55,134.355,58.5,18.729,,,,,,,58.5,18.729
80, 24-10-2025 18:04:56,131.074,59.1,19.855,,,,,,,59.1,19.855
80, 24-10-2025 18:04:57,130.484,62.1,20.537,,,,,,,62.1,20.537
80, 24-10-2025 18:04:58,133.128,58.8,22.064,,,,,,,58.8,22.064
80, 24-10-2025 18:04:59,130.769,60.4,21.221,,,,,,,60.4,21.221
80, 24-10-2025 18:05:00,134.457,60.8,21.902,,,,,,,60.8,21.902
80, 24-10-2025 18:05:01,130.14,60.5,19.656,,,,,,,60.5,19.656
80, 24-10-2025 18:05:02,135.062,62.4,20.039,,,,,,,62.4,20.039
80, 24-10-2025 18:05:03,127.402,60.5,33.469,,,,,,,60.5,33.469
80, 24-10-2025 18:05:04,125.5,62.8,18.016,,,,,,,62.8,18.016
80, 24-10-2025 18:05:05,128.667,56.5,65.638,,,,,,,56.5,65.638
80, 24-10-2025 18:05:06,131.492,60.9,19.352,,,,,,,60.9,19.352
80, 24-10-2025 18:05:07,129.421,63.9,16.796,,,,,,,63.9,16.796
80, 24-10-2025 18:05:08,131.675,58.9,22.353,,,,,,,58.9,22.353
80, 24-10-2025 18:05:09,130.863,60.7,18.403,,,,,,,60.7,18.403
80, 24-10-2025 18:05:10,129.558,60.3,17.716,,,,,,,60.3,17.716
80, 24-10-2025 18:05:11,134.535,56.9,30.563,,,,,,,56.9,30.563
80, 24-10-2025 18:05:12,128.644,55.2,19.999,,,,,,,55.2,19.999
80, 24-10-2025 18:05:13,130.988,53.4,22.344,,,,,,,53.4,22.344
80, 24-10-2025 18:05:14,131.523,52.6,20.194,,,,,,,52.6,20.194
80, 24-10-2025 18:05:15,135.894,57.6,19.549,,,,,,,57.6,19.549
80, 24-10-2025 18:05:16,131.199,58.5,18.117,,,,,,,58.5,18.117
80, 24-10-2025 18:05:17,132.218,58.1,18.084,,,,,,,58.1,18.084
80, 24-10-2025 18:05:18,130.867,58.7,21.754,,,,,,,58.7,21.754
80, 24-10-2025 18:05:19,131.878,56.1,19.88,,,,,,,56.1,19.88
80, 24-10-2025 18:05:20,132.671,55,19.811,,,,,,,55,19.811
80, 24-10-2025 18:05:21,136.464,56.9,18.679,,,,,,,56.9,18.679
80, 24-10-2025 18:05:22,131.382,55.5,19.315,,,,,,,55.5,19.315
80, 24-10-2025 18:05:23,128.871,51.6,22.222,,,,,,,51.6,22.222
80, 24-10-2025 18:05:24,131.214,53.5,20.115,,,,,,,53.5,20.115
80, 24-10-2025 18:05:25,128.312,54.2,19.841,,,,,,,54.2,19.841
80, 24-10-2025 18:05:26,130.625,50.6,34.241,,,,,,,50.6,34.241
80, 24-10-2025 18:05:27,134.179,50.6,30.848,,,,,,,50.6,30.848
80, 24-10-2025 18:05:28,132.925,51.7,22.986,,,,,,,51.7,22.986
80, 24-10-2025 18:05:29,127.949,54.4,19.626,,,,,,,54.4,19.626
80, 24-10-2025 18:05:30,132.367,54.6,18.998,,,,,,,54.6,18.998
80, 24-10-2025 18:05:31,132.664,53.7,19.572,,,,,,,53.7,19.572
80, 24-10-2025 18:05:32,132.425,53.6,20.261,,,,,,,53.6,20.261
80, 24-10-2025 18:05:33,129.738,54.1,21.214,,,,,,,54.1,21.214
80, 24-10-2025 18:05:34,131.468,52.5,20.741,,,,,,,52.5,20.741
80, 24-10-2025 18:05:35,131.261,51.8,20.469,,,,,,,51.8,20.469
80, 24-10-2025 18:05:36,132.156,53.1,20.768,,,,,,,53.1,20.768
80, 24-10-2025 18:05:37,132.179,51.9,20.717,,,,,,,51.9,20.717
80, 24-10-2025 18:05:38,131.226,52.4,22.154,,,,,,,52.4,22.154
80, 24-10-2025 18:05:39,134.16,53.1,20.46,,,,,,,53.1,20.46
80, 24-10-2025 18:05:40,126.753,54.7,30.485,,,,,,,54.7,30.485
80, 24-10-2025 18:05:41,131.027,52.5,20.715,,,,,,,52.5,20.715
80, 24-10-2025 18:05:42,131.562,50,21.714,,,,,,,50,21.714
80, 24-10-2025 18:05:43,128.375,51.6,22.592,,,,,,,51.6,22.592
80, 24-10-2025 18:05:44,133.187,50.7,21.113,,,,,,,50.7,21.113
80, 24-10-2025 18:05:45,130.773,55.2,20.316,,,,,,,55.2,20.316
80, 24-10-2025 18:05:46,134.632,54.8,19.585,,,,,,,54.8,19.585
