os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),AMD Ryzen 7 9800X3D 8-Core Processor,AMD Radeon RX 9070 XT (RADV GFX1201),65438132,6.17.8-2-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
238.813,4.18737,21.6521,0,84,54,51,3121,1358,4.93264,255,10.734,0,0,333365637
243.273,4.1106,21.6521,0,84,54,51,3121,1358,4.93264,255,10.734,0,0,433502466
262.821,3.80488,21.6521,0,84,54,51,3121,1358,4.93264,255,10.734,0,0,533577920
237.179,4.21623,21.6521,0,84,54,51,3121,1358,4.93264,255,10.734,0,0,633647433
252.393,3.96208,21.6521,0,84,54,51,3121,1358,4.93264,255,10.734,0,0,733711346
223.609,4.4721,21.5,0,85,54,51,3110,1358,4.93264,252,10.7307,0,0,833791409
255.793,3.90941,21.5,0,85,54,51,3110,1358,4.93264,252,10.7307,0,0,933861663
245.548,4.07252,21.5,0,85,54,51,3110,1358,4.93264,252,10.7307,0,0,1033931267
244.982,4.08194,21.5,0,85,54,51,3110,1358,4.93264,252,10.7307,0,0,1134007252
218.835,4.56965,21.5,0,85,54,51,3110,1358,4.93264,252,10.7307,0,0,1234074992
258.957,3.86164,21.4286,0,85,54,51,3091,1358,4.93295,249,10.7298,0,0,1334143633
237.154,4.21667,21.4286,0,85,54,51,3091,1358,4.93295,249,10.7298,0,0,1434214759
235.707,4.24255,21.4286,0,85,54,51,3091,1358,4.93295,249,10.7298,0,0,1534284573
228.579,4.37486,21.4286,0,85,54,51,3091,1358,4.93295,249,10.7298,0,0,1634353385
260.849,3.83363,21.4286,0,85,54,51,3091,1358,4.93295,249,10.7298,0,0,1734424070
239.777,4.17053,21.5637,0,86,54,51,3116,1358,4.93295,256,10.7283,0,0,1834495196
237.894,4.20355,21.5637,0,86,54,51,3116,1358,4.93295,256,10.7283,0,0,1934572223
224.288,4.45854,21.5637,0,86,54,51,3116,1358,4.93295,256,10.7283,0,0,2034644892
264.041,3.7873,21.5637,0,86,54,51,3116,1358,4.93295,256,10.7283,0,0,2134696442
238.735,4.18874,21.5637,0,86,54,51,3116,1358,4.93295,256,10.7283,0,0,2234766716
242.809,4.11846,21.5365,0,85,54,51,3107,1358,4.93295,247,10.73,0,0,2334836359
227.723,4.3913,21.5365,0,85,54,51,3107,1358,4.93295,247,10.73,0,0,2434904991
253.171,3.9499,21.5365,0,85,54,51,3107,1358,4.93295,247,10.73,0,0,2534975646
239.735,4.17128,21.5365,0,85,54,51,3107,1358,4.93295,247,10.73,0,0,2635045189
249.484,4.00828,21.5365,0,85,54,51,3107,1358,4.93295,247,10.73,0,0,2735113360
220.354,4.53814,21.625,0,85,54,51,3120,1358,4.93295,250,10.7259,0,0,2835183634
257.254,3.8872,21.625,0,85,54,51,3120,1358,4.93295,250,10.7259,0,0,2935254761
241.312,4.14401,21.625,0,85,54,51,3120,1358,4.93295,250,10.7259,0,0,3035328441
251.164,3.98147,21.625,0,85,54,51,3120,1358,4.93295,250,10.7259,0,0,3135401311
205.394,4.86869,21.625,0,85,54,51,3120,1358,4.93295,250,10.7259,0,0,3235475212
258.851,3.86323,21.7933,0,87,54,50,3106,1358,4.93295,254,10.7276,0,0,3335544896
240.799,4.15284,21.7933,0,87,54,50,3106,1358,4.93295,254,10.7276,0,0,3435614469
241.51,4.14061,21.7933,0,87,54,50,3106,1358,4.93295,254,10.7276,0,0,3535678411
222.76,4.48913,21.7933,0,87,54,50,3106,1358,4.93295,254,10.7276,0,0,3635747454
249.749,4.00402,21.7933,0,87,54,50,3106,1358,4.93295,254,10.7276,0,0,3735819411
236.068,4.23607,21.2121,0,85,55,50,3101,1358,4.93295,249,10.7179,0,0,3835893914
244.449,4.09083,21.2121,0,85,55,50,3101,1358,4.93295,249,10.7179,0,0,3935966723
223.414,4.47599,21.2121,0,85,55,50,3101,1358,4.93295,249,10.7179,0,0,4036025306
214.364,4.66496,21.2121,0,85,55,50,3101,1358,4.93295,249,10.7179,0,0,4136095079
232.571,4.29977,21.2121,0,85,55,50,3101,1358,4.93295,249,10.7179,0,0,4236160955
226.731,4.4105,21.4376,0,85,55,50,3119,1358,4.93295,252,10.7188,0,0,4336229837
213.33,4.68756,21.4376,0,85,55,50,3119,1358,4.93295,252,10.7188,0,0,4436297016
266.878,3.74703,21.4376,0,85,55,50,3119,1358,4.93295,252,10.7188,0,0,4536367361
244.574,4.08874,21.4376,0,85,55,50,3119,1358,4.93295,252,10.7188,0,0,4636441392
239.605,4.17353,21.4376,0,85,55,50,3119,1358,4.93295,252,10.7188,0,0,4736543627
223.678,4.47071,21.3384,0,85,55,51,3123,1358,4.93295,254,10.714,0,0,4836621195
246.453,4.05756,21.3384,0,85,55,51,3123,1358,4.93295,254,10.714,0,0,4936667765
241.61,4.13889,21.3384,0,85,55,51,3123,1358,4.93295,254,10.714,0,0,5036742939
224.173,4.46084,21.3384,0,85,55,51,3123,1358,4.93295,254,10.714,0,0,5136860602
220.932,4.52627,21.3384,0,85,55,51,3123,1358,4.93295,254,10.714,0,0,5236989897
257.831,3.87852,21.5539,0,85,55,50,3128,1358,4.93295,253,10.7118,0,0,5337062256
239.823,4.16974,21.5539,0,85,55,50,3128,1358,4.93295,253,10.7118,0,0,5437130677
243.837,4.1011,21.5539,0,85,55,50,3128,1358,4.93295,253,10.7118,0,0,5537200020
219.689,4.5519,21.5539,0,85,55,50,3128,1358,4.93295,253,10.7118,0,0,5637268681
263.135,3.80033,21.5539,0,85,55,50,3128,1358,4.93295,253,10.7118,0,0,5737338655
233.83,4.27661,21.8204,0,86,55,51,3107,1358,4.93295,253,10.7108,0,0,5837412737
260.047,3.84545,21.8204,0,86,55,51,3107,1358,4.93295,253,10.7108,0,0,5937479825
244.554,4.08907,21.8204,0,86,55,51,3107,1358,4.93295,253,10.7108,0,0,6037551693
236.806,4.22287,21.8204,0,86,55,51,3107,1358,4.93295,253,10.7108,0,0,6137621897
247.576,4.03916,21.8204,0,86,55,51,3107,1358,4.93295,253,10.7108,0,0,6237651536
252.318,3.96324,21.7228,0,86,55,51,3103,1358,4.93295,248,10.6975,0,0,6337714957
250.454,3.99275,21.7228,0,86,55,51,3103,1358,4.93295,248,10.6975,0,0,6437780062
237.156,4.21664,21.7228,0,86,55,51,3103,1358,4.93295,248,10.6975,0,0,6537851489
217.102,4.60613,21.7228,0,86,55,51,3103,1358,4.93295,248,10.6975,0,0,6637920611
256.922,3.89223,21.7228,0,86,55,51,3103,1358,4.93295,248,10.6975,0,0,6737998901
239.915,4.16815,26.2958,0,85,56,51,3126,1358,4.93295,251,10.7028,0,0,6838075056
258.555,3.86766,26.2958,0,85,56,51,3126,1358,4.93295,251,10.7028,0,0,6938149158
221.112,4.52259,26.2958,0,85,56,51,3126,1358,4.93295,251,10.7028,0,0,7038222228
252.877,3.9545,26.2958,0,85,56,51,3126,1358,4.93295,251,10.7028,0,0,7138291270
247.854,4.03463,26.2958,0,85,56,51,3126,1358,4.93295,251,10.7028,0,0,7238356805
267.266,3.74159,22.7848,0,85,56,50,3119,1358,4.93295,251,10.7026,0,0,7338422902
224.478,4.45479,22.7848,0,85,56,50,3119,1358,4.93295,251,10.7026,0,0,7438483258
277.385,3.6051,22.7848,0,85,56,50,3119,1358,4.93295,251,10.7026,0,0,7538551579
230.334,4.34152,22.7848,0,85,56,50,3119,1358,4.93295,251,10.7026,0,0,7638609380
238.418,4.19432,22.7848,0,85,56,50,3119,1358,4.93295,251,10.7026,0,0,7738636814
230.82,4.33238,21.3836,0,85,56,50,3117,1358,4.93295,257,10.7026,0,0,7838708201
256.965,3.89158,21.3836,0,85,56,50,3117,1358,4.93295,257,10.7026,0,0,7938770080
